University_name,City,State,University_link,Tuition_Fees_Domestic,Type_of_Institution,Undergraduate_Population,Acceptance_Rate,Average_SAT_ACT_Score,Ranking_National,Graduation_Rate,Percentage_of_International_Students
East-West University,Chicago,IL,www.eastwest.edu/,24024,Public,20844,68.48832681,1523,5296,56.78062618,2.983360732
Eastern Illinois University,Charleston,IL,https://www.eiu.edu/,18433,Private,4875,82.48920423,1335,1535,59.80792524,7.301512029
Elgin Community College,Elgin,IL,www.elgin.edu/,47669,Public,13359,44.77047209,1368,5626,81.31156602,11.32749377
Elmhurst University,Elmhurst,IL,www.elmhurst.edu/,33107,Private,10378,46.20366342,1424,5678,83.05288933,24.09042766
Eureka College,Eureka,IL,www.eureka.edu/,14716,Public,21200,87.125648,1576,683,84.06144804,18.40566319
First Institute of Travel Inc.,Crystal Lake,IL,www.firstinstitute.edu/,5629,Public,23059,26.41133603,1248,3370,68.00586001,23.37439951
Fox College,Tinley Park,IL,www.foxcollege.edu/,14136,Private,33064,41.7091049,1545,5149,76.29368429,6.459153671
Garrett-Evangelical Theological Seminary,Evanston,IL,www.garrett.edu/,21101,Private,27943,51.19788458,1455,4797,75.99268422,19.43284876
Gem City College,Quincy,IL,www.gemcitycollege.com/,42456,Private,28024,31.48376829,990,400,96.84265795,9.077763144
Governors State University,University Park,IL,www.govst.edu/,45895,Public,37029,67.61228701,1144,3751,52.00896901,6.510414189
Graham Hospital School of Nursing,Canton,IL,grahamschoolofnursing.org/,39011,Public,19067,91.15764806,1151,4754,50.23454658,17.80193893
Greenville University,Greenville,IL,www.greenville.edu/,19370,Public,34799,7.61130092,1407,6383,61.93247835,3.641713224
G Skin & Beauty Institute,Schaumburg,IL,gskinbeautyinstitute.edu/,18036,Public,7837,58.65998333,1504,4056,57.90457418,21.14841415
Hair Professionals Career College,Sycamore,IL,hairpros.edu/,16424,Public,10388,47.07246253,1204,417,91.36770871,11.85237326
Hair Professionals School of Cosmetology,Oswego,IL,hairpros.edu/,12244,Private,12424,65.41189401,1270,5738,89.92001984,1.473396347
Hebrew Theological College,Skokie,IL,https://www.htc.edu/,14314,Private,14450,81.68989307,1023,866,65.3872487,12.88234653
Highland Community College,Freeport,IL,www.highland.edu/,24533,Public,27073,84.60773768,888,2196,69.8078052,12.96178459
Rosalind Franklin University of Medicine and Science,North Chicago,IL,www.rosalindfranklin.edu/,16015,Private,9986,65.48351144,978,2938,95.95751014,2.795378352
University of Illinois Chicago,Chicago,IL,www.uic.edu/,23625,Private,9669,73.33737426,1541,6085,88.92267247,4.338834225
Benedictine University,Lisle,IL,https://ben.edu/,40990,Private,8934,7.172985476,1151,4155,61.80948782,9.617921337
Illinois College of Optometry,Chicago,IL,www.ico.edu/,27362,Private,18948,43.37824936,1342,4475,84.15286802,19.47878259
University of Illinois Urbana-Champaign,Champaign,IL,www.illinois.edu/,39535,Public,20130,59.0475169,930,285,76.00073954,0.690413348
Illinois Wesleyan University,Bloomington,IL,www.iwu.edu/,38013,Public,27549,45.22179067,1058,4137,92.00072786,17.25854879
Illinois Central College,East Peoria,IL,icc.edu/,43774,Private,34254,17.0111006,961,4639,75.20043921,17.3550772
Illinois College,Jacksonville,IL,www.ic.edu/,20453,Private,38342,86.66558256,1549,2560,95.82940299,2.642911888
Olney Central College,Olney,IL,https://www.iecc.edu/occ,7932,Private,25109,45.70063853,1518,1020,73.38171569,9.016987297
Illinois Institute of Technology,Chicago,IL,https://www.iit.edu/,37880,Public,27182,77.23620094,1298,415,59.82736931,1.690736832
Illinois State University,Normal,IL,illinoisstate.edu/,10673,Public,25533,95.29918876,1074,5555,85.31371365,16.5762667
Illinois Valley Community College,Oglesby,IL,https://www.ivcc.edu/,41568,Public,37542,62.46268085,1045,4683,57.10112584,9.01988332
Institute for Clinical Social Work,Chicago,IL,www.icsw.edu/,30324,Private,9560,97.56505508,910,5707,80.88906546,2.499429166
John A Logan College,Carterville,IL,https://www.jalc.edu/,24665,Private,1741,52.07579359,1528,5628,75.33932763,2.608219045
John Wood Community College,Quincy,IL,www.jwcc.edu/,21443,Public,29961,45.39466628,1091,4104,94.45328577,14.6812556
Joliet Junior College,Joliet,IL,www.jjc.edu/,10730,Public,23016,42.36669257,963,2512,73.95191142,7.258756959
Judson University,Elgin,IL,www.judsonu.edu/,32593,Public,6608,48.85907076,1140,1300,81.19385305,13.82795243
Kankakee Community College,Kankakee,IL,https://www.kcc.edu/,19577,Public,2268,87.88024544,1082,2248,75.19378795,1.992159133
Kaskaskia College,Centralia,IL,https://www.kaskaskia.edu/,10341,Public,17686,13.75476583,1440,3041,68.54775586,9.860713
Kishwaukee College,Malta,IL,www.kish.edu/,36110,Private,18362,72.56079179,977,3842,52.11895733,19.41563752
Knox College,Galesburg,IL,https://www.knox.edu/,42712,Private,34383,77.45586657,1423,3612,65.23039049,10.4468566
Educators of Beauty College of Cosmetology-Peru,PERU,IL,www.educatorsofbeauty.com/,35937,Public,21208,73.42094919,891,3429,91.62556228,14.47637459
College of Lake County,Grayslake,IL,www.clcillinois.edu/,49054,Public,6019,96.32094353,1180,5395,53.23528496,18.42149217
Lake Forest College,Lake Forest,IL,www.lakeforest.edu/,9345,Private,23238,19.10244746,874,2489,80.52042018,6.138259202
Lake Forest Graduate School of Management,Lake Forest,IL,https://lfgsm.edu/,8011,Private,5187,42.35024218,1386,4613,97.14242995,18.40516684
Lake Land College,Mattoon,IL,www.lakelandcollege.edu/,45662,Public,24517,24.8812473,1481,5910,53.70260167,18.63635463
Lakeview College of Nursing,Danville,IL,https://lcn.edu/,31570,Private,2551,7.535715292,1456,573,82.52567153,6.52029434
Lewis and Clark Community College,Godfrey,IL,www.lc.edu/,8186,Public,15283,58.9888427,835,2682,76.80991148,17.27751737
Lewis University,Romeoville,IL,www.lewisu.edu/,27069,Private,1420,41.37359362,1137,5185,66.29177417,16.94439555
Lincoln Christian University,Lincoln,IL,www.lincolnchristian.edu/,16972,Private,21247,53.09551149,1085,2546,85.23081742,17.07924799
Lincoln Land Community College,Springfield,IL,www.llcc.edu/,13774,Public,28323,16.6877812,837,2482,76.27804834,17.65193496
Lincoln College of Technology-Melrose Park,Melrose Park,IL,www.lincolntech.edu/campus/melrose-park-il,18762,Public,27265,57.04428177,1281,1844,56.19794665,24.58397744
Loyola University Chicago,Chicago,IL,https://www.luc.edu/,14270,Private,26211,16.07656468,1370,2775,94.90583583,1.915385679
Lutheran School of Theology at Chicago,Chicago,IL,www.lstc.edu/,7498,Private,34360,64.60914533,868,5468,70.83305721,14.41107633
Trinity College of Nursing & Health Sciences,Rock Island,IL,www.trinitycollegeqc.edu/default.aspx,39800,Private,14566,24.50077018,1172,3932,76.92529213,5.431756459
Steven Papageorge Hair Academy,Chicago,IL,stevenpapageorgehairacademy.com/,33947,Public,10630,86.81251579,1114,54,72.72044057,15.00188689
Generations College,Chicago,IL,www.generations.edu/,7433,Public,33980,8.936246104,856,5018,76.68629829,22.08518367
McCormick Theological Seminary,Chicago,IL,https://www.mccormick.edu/,42280,Private,19470,65.9234954,900,6349,90.74103862,16.81073352
McHenry County College,Crystal Lake,IL,www.mchenry.edu/,33647,Private,35336,30.90302767,1252,1596,60.37776639,3.34755595
McKendree University,Lebanon,IL,https://www.mckendree.edu/,41195,Private,18064,90.5633543,1327,672,63.54804593,13.21766304
Meadville Theological School of Lombard College,Chicago,IL,www.meadville.edu/,15221,Public,36763,33.58528856,1044,2163,79.03040207,1.46427842
Methodist College,Peoria,IL,www.methodistcol.edu/,45401,Private,20814,51.94603344,1088,5428,90.11802623,4.491942376
Millikin University,Decatur,IL,https://millikin.edu/,34473,Public,7015,56.38591083,1115,1524,77.5099385,12.85411528
Monmouth College,Monmouth,IL,www.monmouthcollege.edu/,43936,Private,12556,46.59843821,813,6457,91.01583093,24.05890848
Moody Bible Institute,Chicago,IL,https://www.moody.edu/,10294,Private,12578,72.92815436,1457,268,75.30126915,21.59348708
Moraine Valley Community College,Palos Hills,IL,www.morainevalley.edu/,30918,Private,8236,19.91212785,1212,1110,88.511642,0.465362932
Morrison Institute of Technology,Morrison,IL,www.morrisontech.edu/,20714,Public,25217,5.764738725,1405,4538,58.25271997,19.8666158
Morton College,Cicero,IL,www.morton.edu/,5434,Private,39179,57.59511885,1477,2802,90.27100104,14.18929005
National Louis University,Chicago,IL,www.nl.edu/,29688,Private,10493,50.40278345,949,5241,66.85744426,18.63942778
National University of Health Sciences,Lombard,IL,https://www.nuhs.edu/,35838,Private,1838,19.44135739,1218,532,60.93458676,2.639406023
Cosmetology Concepts Niles,Niles,IL,johnnamicoschoolofhairdesign.com/,34123,Public,13036,87.65309427,1557,360,50.45863684,4.650159832
North Central College,Naperville,IL,northcentralcollege.edu/,38645,Private,28477,96.3356334,964,5167,53.44748722,18.56530433
North Park University,Chicago,IL,www.northpark.edu/,12040,Public,10821,24.44684956,1456,5953,64.86861804,5.086014158
Northern Baptist Theological Seminary,Lisle,IL,www.seminary.edu/,39683,Private,26261,5.533397852,831,3705,54.68710416,16.20238692
Northern Illinois University,Dekalb,IL,www.niu.edu/,29344,Public,5416,98.51242607,1410,3121,89.00056211,11.3198815
Northwestern University,Evanston,IL,www.northwestern.edu/,6751,Private,25066,5.855148757,1111,5979,85.72360582,16.43495156
Northeastern Illinois University,Chicago,IL,www.neiu.edu/,11749,Public,35052,81.13435045,1422,2126,60.50189602,4.7014985
Oakton Community College,Des Plaines,IL,www.oakton.edu/,38376,Public,29798,35.71800662,1206,2817,70.91812303,16.16981282
Oehrlein School of Cosmetology,East Peoria,IL,oehrleinschool.com/,34109,Private,25510,77.73263028,876,2034,94.14170605,0.281782215
Olivet Nazarene University,Bourbonnais,IL,https://www.olivet.edu/,32076,Private,4670,46.81512431,1103,1079,67.62141836,14.91547009
Parkland College,Champaign,IL,https://www.parkland.edu/,30555,Private,35797,50.00340083,967,1887,66.55040631,9.105506074
Prairie State College,Chicago Heights,IL,prairiestate.edu/,30169,Public,20213,7.707985644,1448,4911,52.61362249,14.52408019
Principia College,Elsah,IL,www.principiacollege.edu/,15474,Private,6827,46.68688123,1569,1529,87.90709687,21.26044392
Professional's Choice Hair Design Academy,Joliet,IL,www.pchairdesign.com/,23144,Private,14806,50.72002955,1502,6364,65.51550452,19.31548857
Quincy University,Quincy,IL,https://www.quincy.edu/,21190,Public,30721,85.18504942,1279,4532,70.77515768,15.72182182
Rend Lake College,Ina,IL,www.rlc.edu/,10927,Public,28453,14.35946512,1014,2350,73.11575283,21.84391673
Richland Community College,Decatur,IL,https://www.richland.edu/,18092,Public,39025,30.77035999,1041,5304,97.66299687,12.82109032
Rock Valley College,Rockford,IL,www.rockvalleycollege.edu/,45854,Private,15535,41.32685249,1216,5032,75.92895637,14.31982752
Rockford University,Rockford,IL,www.rockford.edu/,39531,Public,32471,18.78081363,943,1116,84.3636585,19.54643104
Roosevelt University,Chicago,IL,www.roosevelt.edu/,35886,Private,18280,58.7251335,1057,246,89.77857715,1.50600574
Dominican University,River Forest,IL,https://www.dom.edu/,37945,Public,18530,98.26686179,992,6281,78.78078346,8.783053939
Rush University,Chicago,IL,www.rushu.rush.edu/,48363,Private,22566,95.06970296,975,189,94.27175369,5.822025845
Saint Francis Medical Center College of Nursing,Peoria,IL,www.sfmccon.edu/,19198,Public,39322,16.49611736,1306,2559,84.06108559,8.764199831
University of St Francis,Joliet,IL,https://www.stfrancis.edu/,31336,Public,9355,38.13048698,875,6352,81.1872045,5.849415704
St. John's College-Department of Nursing,Springfield,IL,https://www.sjcs.edu/,45906,Private,1168,98.35727224,1442,3130,96.19846586,20.69137294
Saint Xavier University,Chicago,IL,https://www.sxu.edu/,39666,Private,5553,12.1920905,1001,5337,95.72901817,5.506327213
University of Illinois Springfield,Springfield,IL,www.uis.edu/,12170,Public,2575,81.81686973,1448,4419,62.17425964,10.548228
Sauk Valley Community College,Dixon,IL,www.svcc.edu/,34584,Public,33804,71.52671042,1269,3273,55.68609799,11.91544223
Shawnee Community College,Ullin,IL,www.shawneecc.edu/,33088,Private,32764,23.33733978,1417,219,54.99954957,7.807245478
St. Augustine College,Chicago,IL,www.staugustine.edu/,40082,Private,29763,70.43947303,1585,3517,84.2026201,10.65018973
University of Saint Mary of the Lake,Mundelein,IL,www.usml.edu/,11022,Public,18076,24.2849848,1211,5676,81.2964653,6.472617836
Southeastern Illinois College,Harrisburg,IL,www.sic.edu/,26305,Public,34705,67.39651643,907,1474,83.46840796,24.18218608
National Latino Education Institute,Chicago,IL,www.nlei.org/,18943,Private,30745,41.24894666,1331,642,89.95824239,10.47012701
Spertus College,Chicago,IL,www.spertus.edu/,45494,Public,5376,52.94315415,1503,4263,59.54267537,14.96421368
Spoon River College,Canton,IL,www.src.edu/,27340,Public,4000,49.16284429,1457,4525,88.71201724,1.877698489
Saint Anthony College of Nursing,Rockford,IL,https://www.sacn.edu/,24519,Public,22070,64.73955673,1210,2953,52.40060658,16.57495467
Educators of Beauty College of Cosmetology-Sterling,Sterling,IL,www.educatorsofbeauty.com/,37563,Public,32035,7.332845107,1049,307,69.95471302,14.29871779
Southern Illinois University-Carbondale,Carbondale,IL,https://siu.edu/,6564,Public,39597,25.61342188,1208,3378,91.52656382,0.729346159
Southern Illinois University-Edwardsville,Edwardsville,IL,www.siue.edu/,43297,Private,18966,75.52722187,1245,4192,93.66766401,4.167151742
Taylor Business Institute,Chicago,IL,www.tbiil.edu/,12196,Private,25644,29.18721346,1453,3153,59.63329787,19.62172307
Telshe Yeshiva-Chicago,Chicago,IL,https://telsheyeshivachicago.com/,42836,Private,23771,41.03642124,1326,4641,77.73692062,23.35382556
South Suburban College,South Holland,IL,https://www.ssc.edu/,43430,Public,5819,42.15280174,1558,4522,52.39943847,22.83453833
Trinity Christian College,Palos Heights,IL,www.trnty.edu/,32210,Public,4336,49.85422446,1102,1915,69.58012655,5.778103904
Trinity International University-Illinois,Deerfield,IL,https://www.tiu.edu/,38626,Private,3009,59.51389029,1066,2567,97.49397545,5.805067398
Triton College,River Grove,IL,www.triton.edu/,47660,Public,23592,95.74547725,1341,6172,53.26126299,21.03848312
University of Spa & Cosmetology Arts,Springfield,IL,www.uscart.com/,14276,Private,39403,51.2688463,1053,3485,84.73610473,21.48628255
VanderCook College of Music,Chicago,IL,www.vandercook.edu/,18521,Public,25255,50.80058627,848,2443,84.41536089,16.78911559
Waubonsee Community College,Sugar Grove,IL,https://www.waubonsee.edu/,5904,Public,34550,26.99590611,1408,1119,50.26879138,24.58532472
Oak Point University,Oak Brook,IL,https://oakpoint.edu/,29358,Public,8495,90.88759401,981,104,85.62210747,19.07309301
Western Illinois University,Macomb,IL,www.wiu.edu/,46550,Private,12898,87.04778253,901,1182,66.42388813,20.45835561
Wheaton College,Wheaton,IL,www.wheaton.edu/,43693,Public,13001,13.30792664,1045,4986,58.53562152,17.43233797
William Rainey Harper College,Palatine,IL,https://www.harpercollege.edu/index.php,21855,Private,7660,81.77716609,1592,3870,70.63949332,0.802473776
Anderson University,Anderson,IN,https://anderson.edu/,35187,Public,18855,90.63483431,847,6148,67.16645974,3.941986366
Ball State University,Muncie,IN,https://www.bsu.edu/,26474,Public,32622,96.84486424,999,3676,75.77340692,24.23488689
Bethel University,Mishawaka,IN,www.betheluniversity.edu/,45673,Private,26298,36.35224359,1246,3996,72.31716872,9.263346245
Butler University,Indianapolis,IN,www.butler.edu/,39067,Private,15336,77.73410878,1518,1711,76.80508606,9.453505289
Calumet College of Saint Joseph,Whiting,IN,www.ccsj.edu/,6013,Public,21272,11.17436025,1361,6050,88.77608929,18.40684064
Christian Theological Seminary,Indianapolis,IN,www.cts.edu/,10672,Public,4157,88.34603824,1072,2059,85.57262856,22.40893478
College of Court Reporting Inc,Valparaiso,IN,www.ccr.edu/,15092,Private,24569,30.0631476,1303,3811,50.50368707,20.0982414
Concordia Theological Seminary,Fort Wayne,IN,https://ctsfw.edu/,18689,Public,23712,94.74227859,1046,1734,75.44725124,13.10245876
Tricoci University of Beauty Culture-Highland,Highland,IN,www.tricociuniversity.edu/,25463,Private,18555,10.15076216,1371,956,82.15164923,18.35688569
DePauw University,Greencastle,IN,www.depauw.edu/,49337,Public,34037,8.056647014,823,3672,63.00917839,19.9999866
Don Roberts School of Hair Design,Schererville,IN,www.donrobertsspaschool.com/,20765,Public,4430,95.66005377,1260,4068,72.86979645,7.542271609
Earlham College,Richmond,IN,https://earlham.edu/,5437,Private,8469,35.17778958,1237,2885,78.77304831,16.60667129
University of Evansville,Evansville,IN,https://www.evansville.edu/,5217,Public,7089,68.83477094,853,6255,75.49840925,5.898003915
Franklin College,Franklin,IN,www.franklincollege.edu/,40302,Private,16758,16.8075415,1553,6262,87.21993477,5.291800248
Goshen College,Goshen,IN,www.goshen.edu/,42551,Public,5589,39.18458598,1469,5799,79.24945502,12.6543201
Grace College and Theological Seminary,Winona Lake,IN,www.grace.edu/,38785,Private,26141,82.53046557,1072,599,92.76894685,19.06823395
Hanover College,Hanover,IN,www.hanover.edu/,47232,Private,14296,31.88563935,824,1958,80.37467103,0.456922862
J Michael Harrold Beauty Academy,Terre Haute,IN,harroldbeautyacademy.com/,33059,Private,14576,9.328053263,1342,757,77.91035565,11.86078487
Holy Cross College,Notre Dame,IN,www.hcc-nd.edu/,19197,Private,21853,68.5388618,936,2006,76.98294958,19.54279612
PJ's College of Cosmetology-Clarksville,Clarksville,IN,www.gotopjs.com/,41340,Private,18339,13.42172037,1207,5936,70.30283881,10.01061414
Huntington University,Huntington,IN,www.huntington.edu/,28865,Private,16874,28.93922308,1437,630,87.18890617,16.10145875
Ivy Tech Community College,Indianapolis,IN,www.ivytech.edu/,36879,Public,32862,45.7890182,1231,4235,68.83209223,5.56720983
Purdue University Fort Wayne,Fort Wayne,IN,www.pfw.edu/,23678,Public,20562,81.86934541,1301,5743,92.31811025,2.002559515
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,www.iupui.edu/,26956,Public,16760,55.46442454,1331,2289,82.28640985,13.92450454
University of Indianapolis,Indianapolis,IN,https://uindy.edu/,19327,Private,15834,9.277298767,1529,1700,60.28950706,5.387012003
Indiana Institute of Technology,Fort Wayne,IN,www.indianatech.edu/,21661,Public,11981,78.67048074,1137,161,65.75669204,8.04558557
University of Southern Indiana,Evansville,IN,www.usi.edu/,46204,Private,22897,73.12131304,1369,6031,66.2143202,12.1924157
Indiana State University,Terre Haute,IN,https://www.indstate.edu/,6611,Private,25118,41.6280362,1084,6070,50.65032616,7.665652729
Indiana University-Kokomo,Kokomo,IN,www.iuk.edu/,39613,Private,25061,25.37784278,1429,5285,66.4052203,17.45542071
Indiana University-South Bend,South Bend,IN,https://iusb.edu/,48614,Public,24284,89.00717667,1296,3759,85.55165661,5.814701796
Indiana University-Bloomington,Bloomington,IN,www.indiana.edu/,49704,Public,10084,16.71511055,1192,5913,79.82148645,22.90549686
Indiana University-Northwest,Gary,IN,www.iun.edu/,46964,Private,38459,5.515442715,1526,2164,53.76424454,22.30779552
Indiana University-Southeast,New Albany,IN,https://ius.edu/,22048,Public,38695,28.19292775,1345,3078,71.20773072,9.183620074
Indiana University-East,Richmond,IN,www.iue.edu/,43668,Private,16329,84.20395499,952,1047,90.86092987,14.08731944
International Business College-Indianapolis,Indianapolis,IN,www.ibcindianapolis.edu/,27069,Public,7923,90.47652167,828,2447,54.19990026,18.17959904
Taylor Institute of Cosmetology II,Knox,IN,www.kbc.edu/,42875,Public,28869,31.16136472,1024,5942,84.79525471,16.5737833
Tricoci University of Beauty Culture-Lafayette,Lafayette,IN,www.tricociuniversity.edu/,14148,Public,34307,15.76222421,857,1331,76.40385861,23.90286172
Lincoln College of Technology-Indianapolis,Indianapolis,IN,www.lincolntech.edu/campus/indianapolis-in,5359,Private,38995,20.21143708,1108,828,68.35941552,22.32568207
Manchester University,North Manchester,IN,https://www.manchester.edu/,36450,Public,38904,67.55529498,972,3296,53.87639367,17.69795698
Marian University,Indianapolis,IN,www.marian.edu/,13293,Private,23702,10.57437968,994,3162,91.09839466,5.409004336
Indiana Wesleyan University-Marion,Marion,IN,https://www.indwes.edu/,5318,Public,1596,69.93427071,1544,4383,85.77360012,18.82932861
Martin University,Indianapolis,IN,www.martin.edu/,26106,Private,39754,94.09261815,1412,615,55.69647888,13.82128831
Anabaptist Mennonite Biblical Seminary,Elkhart,IN,www.ambs.edu/,8646,Private,38974,86.46701179,1479,6485,79.71832364,16.90006155
Mid-America College of Funeral Service,Jeffersonville,IN,www.mid-america.edu/,37452,Private,9842,31.85060163,1597,3939,83.66662505,7.979294565
West Michigan College of Barbering and Beauty,Kalamazoo,MI,westmichigancollegeofbarberingandbeauty.com/,22111,Public,34002,79.4556686,1004,1296,82.14199173,7.654701738
University of Notre Dame,Notre Dame,IN,www.nd.edu/,23604,Public,32739,62.80689888,1089,5666,86.5439464,14.82297674
Oakland City University,Oakland City,IN,www.oak.edu/,8202,Private,38677,75.96154878,1352,2717,93.65331126,14.41223184
PJ's College of Cosmetology-Richmond,Richmond,IN,www.gotopjs.com/,26453,Public,37844,75.6682614,1286,1216,93.12224805,23.93537543
Ravenscroft Beauty College,Fort Wayne,IN,ravenscroftcollege.com/,11665,Public,14074,51.24520901,1185,4776,66.67226086,0.248523167
Rogers Academy of Hair Design,Evansville,IN,rogershair.com/,31442,Private,36524,51.8607475,1079,1629,57.32372262,3.604813456
Rose-Hulman Institute of Technology,Terre Haute,IN,https://www.rose-hulman.edu/,7907,Private,28229,55.14778575,1255,2119,73.7141858,10.95278713
University of Saint Francis-Fort Wayne,Fort Wayne,IN,https://www.sf.edu/,13285,Public,25064,52.88557887,1050,6223,61.45841748,4.710897704
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,www.smwc.edu/,5534,Public,22360,33.22774941,937,3104,76.26794609,14.09264352
Saint Mary's College,Notre Dame,IN,https://www.saintmarys.edu/,9194,Public,37584,82.70083899,1064,3930,79.98877996,22.23596375
Saint Meinrad School of Theology,St. Meinrad,IN,https://www.saintmeinrad.edu/,37683,Public,21941,60.29421891,944,4292,84.43014496,21.22535381
Saint Elizabeth School of Nursing,Lafayette,IN,https://www.steson.org/,36444,Private,23631,45.34290922,1130,1236,93.67318873,6.302028737
Taylor University,Upland,IN,https://www.taylor.edu/,5598,Private,29080,38.00617067,1315,559,72.84291403,17.82396465
Trine University,Angola,IN,www.trine.edu/,41675,Public,2653,86.32931208,1063,2815,52.03508827,10.74217955
Valparaiso University,Valparaiso,IN,https://www.valpo.edu/,10372,Private,32208,28.1316627,1461,4228,94.085235,21.70975793
Vincennes Beauty College,Vincennes,IN,vincennesbeautycollege.com/,13589,Public,16714,32.48351686,803,4677,74.16463103,15.10067232
Vincennes University,Vincennes,IN,https://www.vinu.edu/,26069,Private,1689,76.50047424,1339,4101,63.00646868,4.250029952
Wabash College,Crawfordsville,IN,www.wabash.edu/,15411,Public,3606,24.02216003,1109,977,84.18799823,8.285111387
Allen College,Waterloo,IA,www.allencollege.edu/,49330,Public,13196,36.49435928,1380,2764,64.35461129,6.894787605
Briar Cliff University,Sioux City,IA,www.briarcliff.edu/,18661,Public,27383,6.130611527,1470,540,90.75763026,10.77114726
Buena Vista University,Storm Lake,IA,https://www.bvu.edu/,46719,Private,32822,81.8943319,1037,1581,87.58245903,9.356878977
Capri College-Dubuque,Dubuque,IA,www.capricollege.edu/,20474,Public,29162,57.67234918,1183,2411,83.15310767,13.65322828
Capri College-Cedar Rapids,Cedar Rapids,IA,www.capricollege.edu/,46919,Private,34035,48.30674179,1231,5405,62.26744752,4.961507139
Central College,Pella,IA,www.central.edu/,47060,Private,28158,94.20989702,1272,1024,65.9672437,6.354313093
Clarke University,Dubuque,IA,www.clarke.edu/,14214,Public,1470,75.52409985,1173,3321,70.88387902,7.099994633
Coe College,Cedar Rapids,IA,www.coe.edu/,47608,Public,36817,80.29611516,1234,2877,79.02132103,5.31473076
Cornell College,Mount Vernon,IA,www.cornellcollege.edu/,30109,Private,32358,10.01155389,1158,3917,71.64925592,14.69109705
Des Moines Area Community College,Ankeny,IA,www.dmacc.edu/,19039,Private,19876,38.48982382,1182,3281,73.23640375,4.308936384
Divine Word College,Epworth,IA,www.dwci.edu/,6709,Public,38626,37.36769637,1365,5062,95.98641277,8.178171405
Dordt University,Sioux Center,IA,https://www.dordt.edu/,19464,Private,27434,99.19101118,1448,3708,96.99591545,5.337605497
Drake University,Des Moines,IA,www.drake.edu/,6891,Private,19290,17.67775244,1383,4868,50.74322597,14.63382458
University of Dubuque,Dubuque,IA,www.dbq.edu/,21156,Private,3382,11.76210376,1566,1584,84.35228257,15.78238385
Ellsworth Community College,Iowa Falls,IA,https://ecc.iavalley.edu/,19407,Public,11152,48.3524202,1589,2147,56.11666981,17.37029981
Emmaus Bible College,Dubuque,IA,https://www.emmaus.edu/,29681,Public,5164,60.76273448,1518,4759,64.28142913,20.41387369
Eastern Iowa Community College District,Davenport,IA,www.eicc.edu/,11585,Public,3536,36.21738897,1034,5232,71.38878718,12.64337674
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,https://faith.edu/,30215,Private,25324,48.89105616,1178,3758,68.97575712,5.225769902
Graceland University-Lamoni,Lamoni,IA,www.graceland.edu/,22418,Private,32175,87.27314926,907,4640,88.11458744,7.942724734
Grand View University,Des Moines,IA,www.grandview.edu/,36772,Public,35001,88.53561381,968,4952,90.2776603,7.242403738
Grinnell College,Grinnell,IA,www.grinnell.edu/,49868,Private,15428,46.00042124,805,6009,68.17628855,16.29760982
Orion Technical College,Davenport,IA,orion.edu/iowa,9449,Public,27214,15.51607362,1406,5640,89.11083772,4.63866067
Hawkeye Community College,Waterloo,IA,www.hawkeyecollege.edu/,41956,Public,36907,12.67634093,1383,2830,90.04458813,13.4518683
American Hair Academy,Mt. Pleasant,IA,americanhairacademy.com/,10605,Public,32331,30.03688097,998,3144,69.64597896,19.28686717
Indian Hills Community College,Ottumwa,IA,https://www.indianhills.edu/,48932,Public,8547,57.668463,839,3960,96.51346166,14.76745377
Iowa Central Community College,Fort Dodge,IA,www.iowacentral.edu/,17131,Public,4405,10.52181645,1492,5553,50.66150036,12.88849495
Iowa Lakes Community College,Estherville,IA,www.iowalakes.edu/,20085,Private,3323,34.97381661,810,3114,92.7202381,20.14892354
UnityPoint Health-Des Moines School of Radiologic Technology,Des Moines,IA,https://www.unitypoint.org/desmoines//radiologic-technology-certificate-program.aspx,11783,Private,5505,81.66895971,1077,545,78.1432615,22.62807218
Iowa School of Beauty-Des Moines,Des Moines,IA,iowaschoolofbeauty.com/,44085,Private,21648,92.89154435,969,3278,52.1925315,22.96825635
Iowa State University,Ames,IA,www.iastate.edu/,24672,Public,12925,28.16474814,1579,4131,87.0388792,19.09716371
Iowa Wesleyan University,Mount Pleasant,IA,https://www.iw.edu/,36881,Public,18449,54.16552079,1467,332,55.76045739,7.79245068
Iowa Western Community College,Council Bluffs,IA,www.iwcc.edu/,48483,Private,10919,47.26082546,986,5221,89.69665586,8.875714993
University of Iowa,Iowa City,IA,www.uiowa.edu/,36694,Public,21953,13.18262566,1138,4705,95.1876132,12.6440915
Kirkwood Community College,Cedar Rapids,IA,www.kirkwood.edu/,5474,Private,13011,25.11269598,1536,1334,61.2314337,8.938796533
La James International College-Cedar Falls,Cedar Falls,IA,www.ljic.edu/,35704,Private,24574,10.16477385,1600,5203,70.73093963,10.75112048
La James International College-Johnston,Johnston,IA,www.ljic.edu/,29991,Public,13859,32.44391379,1488,3384,81.34567495,10.17890295
La James College of Hairstyling and Cosmetology,Mason City,IA,www.lajames.edu/,45354,Public,14265,69.58360033,1585,2566,92.36391976,21.57335808
La James International College-Ft Dodge,Fort Dodge,IA,www.ljic.edu/,35319,Private,29281,23.07478353,908,4302,77.11237138,7.128379482
